params,mean_test_accuracy,mean_test_recall,mean_test_precision,mean_test_f1
"{'C': 0.0, 'max_iter': 100, 'penalty': 'l1', 'solver': 'newton-cg'}",,,,
"{'C': 0.0, 'max_iter': 100, 'penalty': 'l1', 'solver': 'lbfgs'}",,,,
"{'C': 0.0, 'max_iter': 100, 'penalty': 'l1', 'solver': 'liblinear'}",,,,
"{'C': 0.0, 'max_iter': 100, 'penalty': 'l1', 'solver': 'sag'}",,,,
"{'C': 0.0, 'max_iter': 100, 'penalty': 'l2', 'solver': 'newton-cg'}",,,,
"{'C': 0.0, 'max_iter': 100, 'penalty': 'l2', 'solver': 'lbfgs'}",,,,
"{'C': 0.0, 'max_iter': 100, 'penalty': 'l2', 'solver': 'liblinear'}",,,,
"{'C': 0.0, 'max_iter': 100, 'penalty': 'l2', 'solver': 'sag'}",,,,
"{'C': 0.0, 'max_iter': 500, 'penalty': 'l1', 'solver': 'newton-cg'}",,,,
"{'C': 0.0, 'max_iter': 500, 'penalty': 'l1', 'solver': 'lbfgs'}",,,,
"{'C': 0.0, 'max_iter': 500, 'penalty': 'l1', 'solver': 'liblinear'}",,,,
"{'C': 0.0, 'max_iter': 500, 'penalty': 'l1', 'solver': 'sag'}",,,,
"{'C': 0.0, 'max_iter': 500, 'penalty': 'l2', 'solver': 'newton-cg'}",,,,
"{'C': 0.0, 'max_iter': 500, 'penalty': 'l2', 'solver': 'lbfgs'}",,,,
"{'C': 0.0, 'max_iter': 500, 'penalty': 'l2', 'solver': 'liblinear'}",,,,
"{'C': 0.0, 'max_iter': 500, 'penalty': 'l2', 'solver': 'sag'}",,,,
"{'C': 0.0, 'max_iter': 1000, 'penalty': 'l1', 'solver': 'newton-cg'}",,,,
"{'C': 0.0, 'max_iter': 1000, 'penalty': 'l1', 'solver': 'lbfgs'}",,,,
"{'C': 0.0, 'max_iter': 1000, 'penalty': 'l1', 'solver': 'liblinear'}",,,,
"{'C': 0.0, 'max_iter': 1000, 'penalty': 'l1', 'solver': 'sag'}",,,,
"{'C': 0.0, 'max_iter': 1000, 'penalty': 'l2', 'solver': 'newton-cg'}",,,,
"{'C': 0.0, 'max_iter': 1000, 'penalty': 'l2', 'solver': 'lbfgs'}",,,,
"{'C': 0.0, 'max_iter': 1000, 'penalty': 'l2', 'solver': 'liblinear'}",,,,
"{'C': 0.0, 'max_iter': 1000, 'penalty': 'l2', 'solver': 'sag'}",,,,
"{'C': 0.2, 'max_iter': 100, 'penalty': 'l1', 'solver': 'newton-cg'}",,,,
"{'C': 0.2, 'max_iter': 100, 'penalty': 'l1', 'solver': 'lbfgs'}",,,,
"{'C': 0.2, 'max_iter': 100, 'penalty': 'l1', 'solver': 'liblinear'}",0.6,0.5555555555555556,0.6106410256410257,0.5524796942188247
"{'C': 0.2, 'max_iter': 100, 'penalty': 'l1', 'solver': 'sag'}",,,,
